Id,Front,Left,Rear,Right
2c9180975a056a64015a1e10d3f270fe,0.99152157755417,0.004920410475264,0.002277909464131,0.001280102506436
2c9180975a056a64015a1de4deb16bdc,0.993967957090748,0.003447526973233,0.001580396995015,0.001004118941003
2c9180975a056a64015a1e0e70ea70ce,0.993330600920225,0.00350056152752,0.001917293287826,0.001251544264429
2c9180975a056a64015a1dfed0c46ec6,0.993503564894241,0.003501171063794,0.001917627137066,0.0010776369049
2c9180975a056a64015a1dfed0c46ec7,0.996466798359232,0.001793703477536,0.001113271792713,0.000626226370519
2c9180975a056a64015a1e44ba4377f8,0.036705229992746,0.083389079779273,0.875000334340671,0.004905355887311
2c9180975a056a64015a1e010c8f6ee1,0.994692279949838,0.003040220344616,0.001386545801827,0.000880953903718
2c9180975a056a64015a1e1db63072aa,0.990775318957161,0.005353497956035,0.0024784077917,0.001392775295104
2c9180975a056a64015a1e1db63072a8,0.003569115538481,0.000741549806663,0.994032894671109,0.001656439983746
2c9180975a056a64015a1e2354f5733c,0.003568855200011,0.000987220134475,0.993960387911278,0.001483536754236
2c9180975a056a64015a1e07928f6ff8,0.991794196386622,0.004795119074373,0.002174072437281,0.001236612101724
2c9180975a056a64015a1e20a607730a,0.996339838505463,0.001920884960799,0.001113129950732,0.000626146583005
2c9180975a056a64015a1e3322e37587,0.009251318025064,0.001456824684246,0.939286001381409,0.05000585590928
2c9180975a056a64015a1e050c296fcd,0.992880804341467,0.003730175136984,0.002050514168403,0.001338506353145
2c9180975a056a64015a1e050c296fcf,0.993799355429159,0.003204488764835,0.001918198062,0.001077957744007
2c9180975a056a64015a1e04ad9f6f84,0.004043700425074,0.001142499357971,0.992231898232952,0.002581901984003
2c9180975a056a64015a1de7a19c6c2b,0.99152157755417,0.004920410475264,0.002277909464131,0.001280102506436
2c9180975a056a64015a1e1180a37123,0.00356823867115,0.000987049589673,0.993788678712867,0.00165603302631
2c9180975a056a64015a1e1d735c729b,0.993801206246709,0.003204494732764,0.001916339268969,0.001077959751558
2c9180975a056a64015a1e1d735c729c,0.003817570854096,0.001142922811051,0.992599656561018,0.002439849773835
2c9180975a056a64015a1e41bbc27765,0.989177328763278,0.004870940099215,0.003889040621371,0.002062690516136
2c9180975a056a64015a1e41bbc2775e,0.990905521761266,0.004733177927744,0.002780506316741,0.001580793994249
2c9180975a056a64015a1ddc1a306b28,0.00356823867115,0.000987049589673,0.993788678712867,0.00165603302631
2c9180975a056a64015a1de453e96baf,0.996502562654012,0.001757876750245,0.001113311749268,0.000626248846475
2c9180975a056a64015a1e264d5f73c0,0.993330600920225,0.00350056152752,0.001917293287826,0.001251544264429
2c9180975a056a64015a1e23443e7337,0.993649686095519,0.00376662553685,0.001579890947993,0.001003797419638
2c9180975a056a64015a1dce7ac869b5,0.00356823867115,0.000987049589673,0.993788678712867,0.00165603302631
2c9180975a056a64015a1e35cd3175a7,0.003567677681257,0.001144112000527,0.993632437649431,0.001655772668785
